PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
91,83,Cleveland Cavaliers,Toronto Raptors,1999-04-30
103,96,Philadelphia 76ers,Toronto Raptors,1999-05-01
99,86,Milwaukee Bucks,Toronto Raptors,1999-05-04
96,87,Toronto Raptors,Cleveland Cavaliers,1999-05-05
90,103,Toronto Raptors,Boston Celtics,1999-11-02
97,86,Toronto Raptors,Miami Heat,1999-11-04
92,112,New Jersey Nets,Toronto Raptors,1999-11-05
109,99,Toronto Raptors,Charlotte Hornets,1999-11-07
106,123,Detroit Pistons,Toronto Raptors,1999-11-11
90,93,Toronto Raptors,Philadelphia 76ers,1999-11-14
89,85,Toronto Raptors,Detroit Pistons,1999-11-16
92,81,Washington Wizards,Toronto Raptors,1999-11-18
106,100,Toronto Raptors,Los Angeles Clippers,1999-11-19
102,111,Los Angeles Lakers,Toronto Raptors,1999-11-21
94,93,Phoenix Suns,Toronto Raptors,1999-11-23
109,84,Denver Nuggets,Toronto Raptors,1999-11-24
87,100,Utah Jazz,Toronto Raptors,1999-11-26
88,106,Golden State Warriors,Toronto Raptors,1999-11-27
89,107,Toronto Raptors,Atlanta Hawks,1999-11-30
95,93,Toronto Raptors,Washington Wizards,1999-12-03
98,92,Toronto Raptors,San Antonio Spurs,1999-12-05
101,98,Toronto Raptors,Cleveland Cavaliers,1999-12-07
91,107,Toronto Raptors,Milwaukee Bucks,1999-12-10
88,103,Toronto Raptors,Utah Jazz,1999-12-12
105,97,Toronto Raptors,Indiana Pacers,1999-12-14
93,91,Philadelphia 76ers,Toronto Raptors,1999-12-15
112,98,Orlando Magic,Toronto Raptors,1999-12-17
88,94,Toronto Raptors,Los Angeles Lakers,1999-12-19
116,87,Toronto Raptors,New Jersey Nets,1999-12-21
91,90,New York Knicks,Toronto Raptors,1999-12-22
95,98,Cleveland Cavaliers,Toronto Raptors,1999-12-26
99,100,Houston Rockets,Toronto Raptors,1999-12-28
104,109,Dallas Mavericks,Toronto Raptors,1999-12-30
90,114,Toronto Raptors,Portland Trail Blazers,2000-01-04
101,89,Toronto Raptors,Sacramento Kings,2000-01-06
105,97,Atlanta Hawks,Toronto Raptors,2000-01-07
97,107,Toronto Raptors,Vancouver Grizzlies,2000-01-09
117,89,Washington Wizards,Toronto Raptors,2000-01-11
108,102,Toronto Raptors,Orlando Magic,2000-01-12
115,110,Toronto Raptors,Milwaukee Bucks,2000-01-14
118,97,Milwaukee Bucks,Toronto Raptors,2000-01-15
115,94,Charlotte Hornets,Toronto Raptors,2000-01-17
94,90,Boston Celtics,Toronto Raptors,2000-01-19
94,77,Toronto Raptors,Seattle SuperSonics,2000-01-23
120,105,Toronto Raptors,Washington Wizards,2000-01-26
108,93,Toronto Raptors,Miami Heat,2000-01-28
89,106,Chicago Bulls,Toronto Raptors,2000-01-29
112,95,San Antonio Spurs,Toronto Raptors,2000-02-03
95,98,Milwaukee Bucks,Toronto Raptors,2000-02-05
109,88,Toronto Raptors,Atlanta Hawks,2000-02-08
115,108,Detroit Pistons,Toronto Raptors,2000-02-09
91,70,Toronto Raptors,New York Knicks,2000-02-15
109,101,Indiana Pacers,Toronto Raptors,2000-02-16
91,95,Toronto Raptors,Denver Nuggets,2000-02-18
96,100,Toronto Raptors,Dallas Mavericks,2000-02-20
88,99,New York Knicks,Toronto Raptors,2000-02-23
85,107,Toronto Raptors,Minnesota Timberwolves,2000-02-25
103,102,Toronto Raptors,Phoenix Suns,2000-02-27
87,80,Toronto Raptors,Chicago Bulls,2000-02-29
94,96,Boston Celtics,Toronto Raptors,2000-03-01
114,104,Toronto Raptors,Boston Celtics,2000-03-03
92,94,Vancouver Grizzlies,Toronto Raptors,2000-03-05
90,109,Portland Trail Blazers,Toronto Raptors,2000-03-06
94,95,Los Angeles Clippers,Toronto Raptors,2000-03-08
103,88,Sacramento Kings,Toronto Raptors,2000-03-10
97,99,Seattle SuperSonics,Toronto Raptors,2000-03-12
85,78,Toronto Raptors,Golden State Warriors,2000-03-14
95,91,Toronto Raptors,Orlando Magic,2000-03-17
100,98,Toronto Raptors,Houston Rockets,2000-03-19
93,100,Toronto Raptors,New Jersey Nets,2000-03-21
106,93,Philadelphia 76ers,Toronto Raptors,2000-03-22
84,102,Toronto Raptors,Charlotte Hornets,2000-03-24
106,101,Minnesota Timberwolves,Toronto Raptors,2000-03-26
96,99,Cleveland Cavaliers,Toronto Raptors,2000-03-28
107,103,New Jersey Nets,Toronto Raptors,2000-03-30
110,101,Charlotte Hornets,Toronto Raptors,2000-03-31
83,104,Toronto Raptors,Indiana Pacers,2000-04-02
88,104,Toronto Raptors,Detroit Pistons,2000-04-04
84,104,Atlanta Hawks,Toronto Raptors,2000-04-07
79,98,Chicago Bulls,Toronto Raptors,2000-04-08
112,103,Toronto Raptors,Cleveland Cavaliers,2000-04-10
77,73,Indiana Pacers,Toronto Raptors,2000-04-12
86,71,Toronto Raptors,New York Knicks,2000-04-14
85,84,Toronto Raptors,Chicago Bulls,2000-04-16
97,73,Miami Heat,Toronto Raptors,2000-04-18
106,100,Orlando Magic,Toronto Raptors,2000-04-19
95,104,Toronto Raptors,Detroit Pistons,2000-10-31
104,98,Philadelphia 76ers,Toronto Raptors,2000-11-01
93,91,Boston Celtics,Toronto Raptors,2000-11-03
103,96,Toronto Raptors,Washington Wizards,2000-11-04
105,75,Toronto Raptors,Boston Celtics,2000-11-07
115,88,Toronto Raptors,Cleveland Cavaliers,2000-11-10
75,98,Chicago Bulls,Toronto Raptors,2000-11-11
